"Abbreviation"	"Reaction"	"Description"
"R11023m"	"C20994[m] + C00030[m] <=> C05570[m] + C00022[m] + C00014[m] + C00028[m]"	"S-(hercyn-2-yl)-L-cysteine-S-oxide ergothioneine-lyase (deaminating; pyruvate-forming)"
"R01044m"	"C00013[m] + C00116[m] <=> C00009[m] + C00623[m]"	"diphosphate:glycerol 1-phosphotransferase"
"R05702m"	"C02029[m] + C00006[m] <=> C00371[m] + C00005[m] + C00080[m]"	"dihydrozeatin:NADP oxidoreductase"
"R00367m"	"C00019[m] + C00037[m] <=> C00021[m] + C00213[m]"	"S-adenosyl-L-methionine:glycine N-methyltransferase"
"R05497m"	"C04596[m] <=> C06637[m] + C00698[m]"	"X"
"R09082m"	"C18174[m] <=> C03375[m] + C00011[m]"	"carboxynorspermidine carboxy-lyase (norspermidine-forming)"
"R12986m"	"C02205[m] <=> C22501[m]"	"alpha-D-xylopyranose aldose-ketose-isomerase"
"R12973m"	"C00140[m] + C00007[m] <=> C22488[m] + C00027[m]"	"X"
"R00088m"	"C00002[m] + C00001[m] <=> C00081[m] + C00014[m]"	"ATP aminohydrolase"
"R09140m"	"C00448[m] + C00001[m] <=> C18245[m] + C00013[m]"	"(2E,6E)-farnesyl-diphosphate diphosphate-lyase (8-epi-cedrol-forming)"
"R01019m"	"C00113[m] + C00084[m] + C00001[m] <=> C01359[m] + C00033[m]"	"acetaldehyde:pyrroloquinoline-quinone oxidoreductase"
"R02229m"	"C00414[m] + C00004[m] + C00080[m] <=> C00854[m] + C00003[m]"	"cyclohexanol:NAD+ oxidoreductase"
"R08564m"	"C16735[m] <=> C16846[m]"	"X"
"R09966m"	"C00341[m] <=> C20230[m] + C00013[m]"	"geranyl-diphosphate diphosphate-lyase [cyclizing, (+)-sabinene-forming]"
"R05563m"	"C06555[m] + C00001[m] <=> C01010[m] + C00014[m]"	"biuret amidohydrolase"
"R13086m"	"C22553[m] <=> C00642[m] + C02183[m]"	"X"
"R00486m"	"C02512[m] + 2 C00001[m] <=> C00049[m] + C00014[m]"	"3-cyano-L-alanine aminohydrolase"
"R11267m"	"C20614[m] + C00007[m] <=> C21251[m] + C00027[m]"	"kanamycin-X:oxygen 6'-oxidoreductase"
"R02904m"	"C00778[m] <=> C02110[m]"	"X"
"R08466m"	"C08301[m] <=> C16719[m]"	"X"
"R07123m"	"C11150[m] <=> C11149[m]"	"X"
"R12485m"	"C00002[m] + C22203[m] + C00010[m] <=> C00020[m] + C00013[m] + C22204[m]"	"isophthalate:CoA ligase (AMP-forming)"
"R04124m"	"C03029[m] <=> C05780[m] + 2 C14818[m]"	"X"
"R03225m"	"C03197[m] + C00026[m] <=> C00164[m] + C01087[m]"	"(S)-3-hydroxybutanoate:2-oxoglutarate oxidoreductase"
"R02899m"	"C00411[m] + C00818[m] <=> C00010[m] + C02866[m]"	"sinapoyl-CoA:D-glucarate O-sinapoyltransferase"
"R13255m"	"C00024[m] + 1 C00083[m] + 1 C00005[m] + 1 C00004[m] + 1 C00080[m] <=> C20876[m] + 1 C00010[m] + 1 C00011[m] + 1 C00006[m] + 1 C00003[m] + 1 C00001[m]"	"acyl-CoA:malonyl-CoA C-acyltransferase (decarboxylating, oxoacyl- and enoyl-reducing, NADH, very-long-chain acyl-CoA forming)"
"R10706m"	"C19771[m] + C03688[m] <=> C00229[m] + C00013[m]"	"2'-(5-triphosphoribosyl)-3'-dephospho-CoA:apo-malonate-decarboxylase 2'-(5-phosphoribosyl)-3'-dephospho-CoA-transferase"
"R07150m"	"C02097[m] + 2 C00006[m] + C00001[m] <=> C03034[m] + 2 C00005[m] + 2 C00080[m]"	"dTDP-D-galactose:NADP+ 6-oxidoreductase"
"R11825m"	"C00448[m] <=> C21676[m] + C00013[m]"	"(2E,6E)-farnesyl-diphosphate diphosphate-lyase [cyclizing, (2S,3R,6S,9S)-(-)-protoillud-7-ene-forming]"
"R05870m"	"C11783[m] + C00024[m] <=> C11784[m] + C00010[m]"	"X"
"R10461m"	"C00979[m] + C07044[m] <=> C20639[m] + C00033[m]"	"O-acetyl-L-serine:hydroxyurea 2-amino-2-carboxyethyltransferase"
"R11839m"	"C00448[m] + C00001[m] <=> C21698[m] + C00013[m]"	"(2E,6E)-farnesyl-diphosphate diphosphate-lyase [cyclizing, (2E,6E)-hedycaryol-forming]"
"R04340m"	"C03901[m] + C00006[m] <=> C04445[m] + C00005[m] + C00080[m]"	"thiomorpholine-3-carboxylate:NADP+ 5,6-oxidoreductase"
"R06748m"	"C12483[m] + C21097[m] <=> C12483[m] + C21097[m]"	"pyrrole-2-carbonyl-[peptidyl-carrier protein]:[peptidyl-carrier protein] (pyrrole-2-carbonyl)transferase"
"R11172m"	"C04261[m] + C00185[m] <=> C00615[m] + C04534[m]"	"protein-Npi-phospho-L-histidine:cellobiose 6'-O-phosphotransferase"
"R10741m"	"C17399[m] + C00026[m] + C00007[m] <=> C11755[m] + C00042[m] + C00011[m] + C00001[m]"	"epithienamycin-F,2-oxoglutarate:oxygen oxidoreductase (dehydrating)"
"R07804m"	"C07721[m] <=> C07717[m] + 2 C00080[m]"	"X"
"R09445m"	"2 C00533[m] + C05819[m] <=> C00887[m] + C00828[m] + C00001[m]"	"nitrous-oxide:menaquinone oxidoreductase"
"R02667m"	"C00019[m] + C00632[m] <=> C00021[m] + C03986[m]"	"S-adenosyl-L-methionine:3-hydroxyanthranilate 4-C-methyltransferase"
"R08734m"	"C15613[m] <=> C17343[m]"	"3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oyl-CoA 25-epimerase"
"R12835m"	"C22437[m] <=> C08796[m]"	"X"
"R01997m"	"C00052[m] + C00338[m] <=> C00015[m] + C04473[m]"	"UDP-alpha-D-galactose:lipopolysaccharide 3-alpha-D-galactosyltransferase"
"R10252m"	"C20464[m] + C00019[m] <=> C10428[m] + C00021[m]"	"S-adenosyl-L-methionine:trans-anol O-methyltransferase"
"R07392m"	"C04582[m] <=> C15650[m] + C00001[m]"	"S-methyl-5-thio-D-ribulose-1-phosphate hydro-lyase"
"R10681m"	"C02247[m] + C00132[m] <=> C00010[m] + C20634[m]"	"anthraniloyl-CoA:methanol O-anthraniloyltransferase"
"R11592m"	"C03802[m] + C00058[m] <=> C00677[m] + C00011[m] + C00001[m]"	"ribonucleoside-5'-triphosphate:formate 2'-oxidoreductase"
"R08889m"	"C06733[m] + C00007[m] <=> C06734[m] + C18011[m]"	"8'-apo-beta-carotenol:O2 oxidoreductase"
"R05378m"	"C06893[m] <=> C00222[m] + C00111[m]"	"2-deoxy-5-keto-D-gluconic acid 6-phosphate dihydroxyacetone phosphate-lyase"
"R03479m"	"C00002[m] + C04520[m] <=> C00008[m] + C01284[m]"	"ATP:1D-myo-inositol-3,4,5,6-tetrakisphosphate 1-phosphotransferase"
"R08838m"	"C00180[m] + C00005[m] + C00007[m] <=> C00805[m] + C00006[m] + C00001[m]"	"benzoate,NADPH:oxygen oxidoreductase (2-hydroxylating)"
"R10665m"	"C20768[m] + C00006[m] <=> C19823[m] + C00005[m] + C00080[m]"	"UDP-2-acetamido-2,6-dideoxy-L-talose:NADP+ oxidoreductase"
"R07297m"	"C02520[m] + C00001[m] <=> C00911[m] + C00009[m]"	"5'-ribonucleotide phosphohydrolase"
"R12477m"	"G00374[m] + C00001[m] <=> G00272[m] + C00159[m]"	"Man9GlcNAc2-[protein]2-alpha-mannohydrolase (configuration-inverting)"
"R10186m"	"C20422[m] + C00001[m] <=> C20423[m] + C00013[m]"	"alpha-D-ribose-1-methylphosphonate-5-triphosphate diphosphohydrolase"
"R07087m"	"C14556[m] + C00005[m] + C00007[m] + C00080[m] <=> C14854[m] + C00006[m] + C00001[m]"	"9-hydroxybenzo[a]pyrene,NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)"
"R03132m"	"C00979[m] + C00320[m] <=> C05824[m] + C00033[m]"	"O-acetyl-L-serine:thiosulfate 2-amino-2-carboxyethyltransferase"
"R01282m"	"C00154[m] + C00028[m] <=> C05272[m] + C00030[m]"	"X"
"R01319m"	"C00040[m] + C04233[m] <=> C00010[m] + C00157[m]"	"acyl-CoA:2-acyl-sn-glycero-3-phosphocholine O-acyltransferase"
"R01331m"	"G10542[m] + C00001[m] <=> C00159[m] + G10542[m]"	"(1->2)-(1->3)-alpha-D-mannan mannohydrolase;"
"R00923m"	"C00683[m] <=> C00100[m] + C00011[m]"	"(S)-methylmalonyl-CoA carboxy-lyase (propanoyl-CoA-forming)"
"R01490m"	"C00193[m] + C00020[m] + C00013[m] + C00006[m] <=> C00539[m] + C00005[m] + C00002[m] + C00080[m]"	"aromatic aldehyde:NADP+ oxidoreductase (ATP-forming)"
"R01414m"	"C00906[m] + C00003[m] <=> C00178[m] + C00004[m] + C00080[m]"	"5,6-dihydrothymine:NAD+ oxidoreductase"
"R09595m"	"C00133[m] + C00740[m] + C00002[m] <=> C19719[m] + C00008[m] + C00009[m]"	"D-alanine:D-serine ligase (ADP-forming)"
"R02944m"	"C01765[m] + C00003[m] <=> C00808[m] + C00004[m] + C00080[m]"	"(+)-borneol:NAD+ oxidoreductase"
"R01654m"	"C00002[m] + C00234[m] + C00025[m] <=> C00008[m] + C00009[m] + C05928[m]"	"10-formyltetrahydrofolate:L-glutamate ligase (ADP-forming)"
"R08317m"	"C06868[m] <=> C16601[m]"	"X"
"R10715m"	"C00424[m] + C00003[m] <=> C00546[m] + C00004[m] + C00080[m]"	"X"
"R00616m"	"C00002[m] + C00068[m] <=> C00008[m] + C03028[m]"	"ATP:thiamine-diphosphate phosphotransferase"
"R01460m"	"C03855[m] + C00001[m] <=> C00187[m] + C00031[m]"	"cholesteryl-beta-D-glucoside glucohydrolase"
"R11199m"	"2 C00411[m] + C00315[m] <=> 2 C00010[m] + C21170[m]"	"sinapoyl-CoA:spermidine N-sinapoyltransferase"
"R03236m"	"C01097[m] + C00002[m] <=> C03785[m] + C00008[m]"	"ATP:D-tagatose-6-phosphate 1-phosphotransferase"
"R10647m"	"C20755[m] + C00019[m] <=> C20753[m] + C00021[m]"	"X"
"R02184m"	"C00002[m] + C00404[m] <=> C00008[m] + C00404[m]"	"ATP:polyphosphate phosphotransferase"
"R04809m"	"C05447[m] + C00001[m] <=> C05448[m]"	"(24R,25R)-3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA hydro-lyase [(24E)-3alpha,7alpha-dihydroxy-5beta-cholest-24-enoyl-CoA-forming]"
"R00299m"	"C00002[m] + C00031[m] <=> C00008[m] + C00092[m]"	"ATP:D-glucose 6-phosphotransferase"
"R11595m"	"C00019[m] + C02105[m] <=> C00021[m] + C21491[m]"	"S-adenosyl-L-methionine:(S)-reticuline N-methyltransferase"
"R00257m"	"C00002[m] + C00857[m] + C00064[m] + C00001[m] <=> C00020[m] + C00013[m] + C00003[m] + C00025[m]"	"deamido-NAD+:L-glutamine amido-ligase (AMP-forming)"
"R06350m"	"C11866[m] <=> C11867[m]"	"X"
"R01589m"	"C02294[m] + C00001[m] <=> C00218[m] + C00086[m]"	"methylguanidine amidinohydrolase"
"R03725m"	"C01802[m] + C00019[m] <=> C15781[m] + C00021[m]"	"X"
"R10600m"	"C00024[m] + C00490[m] <=> C00033[m] + C00531[m]"	"acetyl-CoA:itaconate CoA-transferase"
"R02813m"	"C03195[m] <=> C00712[m] + C00001[m]"	"(R)-10-hydroxystearate 10-hydro-lyase"
"R11182m"	"C00111[m] + C00024[m] <=> C20960[m] + C00010[m]"	"acetyl-CoA:glycerone phosphate C-acetyltransferase"
"R08936m"	"C01209[m] + C18046[m] <=> C03939[m] + C18047[m]"	"malonyl-[acyl-carrier protein]:biotinyl-[protein] carboxytransferase"
"R04237m"	"C00019[m] + C03516[m] <=> C00021[m] + C04536[m]"	"S-adenosyl-L-methionine:magnesium-protoporphyrin-IX O-methyltransferase"
"R00653m"	"C03145[m] + C00001[m] <=> C00058[m] + C00073[m]"	"N-formyl-L-methionine amidohydrolase"
"R12995m"	"C00029[m] + C20716[m] <=> C00015[m] + C20780[m]"	"X"
"R03668m"	"C00024[m] + C01678[m] <=> C00010[m] + C03537[m]"	"acetyl-CoA:thioethanolamine S-acetyltransferase"
"R05904m"	"G10615[m] + G00103[m] <=> G10620[m] + G00104[m]"	"X"
"R05324m"	"C00029[m] + C06738[m] <=> C06739[m] + C00015[m]"	"UDPglucose:cis-p-coumarate beta-D-glucosyltransferase"
"R02872m"	"C03428[m] + C00005[m] + C00080[m] <=> C00013[m] + C00751[m] + C00006[m]"	"presqualene-diphosphate diphosphate-lyase (reducing, squalene-forming)"
"R10406m"	"C20586[m] <=> C20528[m]"	"X"
"R03017m"	"C00024[m] + C00863[m] <=> C00010[m] + C03707[m]"	"acetyl-CoA:monoterpenol O-acetyltransferase"
"R11250m"	"C21210[m] + C21416[m] <=> C21211[m] + C00454[m]"	"X"
"R02895m"	"C00763[m] + C00064[m] <=> C05939[m]"	"X"
"R01181m"	"C00630[m] <=> C00136[m]"	"2-methylpropanoyl-CoA CoA-carbonylmutase"
"R10072m"	"C16269[m] + 4 C22150[m] + 4 C00080[m] + 2 C00007[m] <=> C17954[m] + 4 C22151[m] + 3 C00001[m]"	"(+)-epi-isozizaene,reduced-ferredoxin:oxygen oxidoreductase (5-hydroxylating)"
"R06767m"	"C12479[m] + 2 C12481[m] + 2 C00019[m] <=> C12480[m] + 2 C00363[m] + 2 C00021[m]"	"X"
"R10733m"	"C00448[m] <=> C19736[m] + C00013[m]"	"(2E,6E)-farnesyl diphosphate lyase (cyclizing, (+)-alpha-santalene-forming)"
"R00213m"	"C03015[m] + C00001[m] <=> C00022[m] + 2 C00014[m] + C00011[m]"	"O-carbamoyl-L-serine ammonia-lyase (decarboxylating; pyruvate-forming)"
"R01049m"	"C00002[m] + C00117[m] <=> C00020[m] + C00119[m]"	"ATP:D-ribose-5-phosphate diphosphotransferase"
"R02231m"	"C00414[m] + C00007[m] + C00005[m] + C00080[m] <=> C01880[m] + C00006[m] + C00001[m]"	"cyclohexanone,NADPH:oxygen oxidoreductase (6-hydroxylating 1,2-lactonizing)"
"R07533m"	"C15892[m] + C00019[m] <=> C15895[m] + C00021[m]"	"demethylspheroidene O-methyltransferase"
"R07400m"	"C00916[m] + C00001[m] + C00007[m] <=> C04712[m] + C00014[m] + C00027[m]"	"cephalosporin C:oxygen oxidoreductase (deaminating)"
"R06191m"	"G10611[m] + G00074[m] <=> G10619[m] + G00075[m]"	"X"
"R11687m"	"C02915[m] + C03024[m] + C00007[m] <=> C21586[m] + C03161[m] + C00001[m]"	"(S)-N-methylcanadine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (1-hydroxylating)"
"R13218m"	"C22832[m] + C03024[m] + C00007[m] <=> C00523[m] + C00033[m] + C03161[m] + C00001[m]"	"5alpha-pregnane-3alpha,17alpha-diol-20-one,NADPH---hemoprotein reductase:oxygen oxidoreductase (17alpha-hydroxylating, acetate-releasing)"
"R11222m"	"C10682[m] + C03024[m] + C00007[m] <=> C21191[m] + C03161[m] + 2 C00001[m]"	"(-)-matairesinol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (methylenedioxy-bridge-forming)"
"R11074m"	"C00149[m] <=> C00186[m] + C00011[m]"	"(S)-malate carboxy-lyase"
"R07343m"	"C15585[m] + C00001[m] <=> C00137[m] + C00009[m]"	"myo-inositol-phosphate phosphohydrolase"
"R00865m"	"C00392[m] + 2 C00125[m] <=> C00095[m] + 2 C00126[m] + 2 C00080[m]"	"D-mannitol:ferricytochrome-c 2-oxidoreductase"
"R12352m"	"C20961[m] + C00064[m] + C00002[m] + C00001[m] <=> C20966[m] + C00025[m] + C00020[m] + C00013[m]"	"N3-fumaroyl-L-2,3-diaminopropanoate:L-glutamine amido-ligase (AMP-forming)"
"R09212m"	"C18285[m] <=> C18280[m]"	"X"
"R07190m"	"C15503[m] <=> C04350[m] + C00011[m] + C00001[m]"	"X"
"R04930m"	"C05699[m] + C00001[m] <=> C05688[m] + C00014[m] + C00109[m]"	"selenocystathionine lysteine-lyase (deaminating)"
"R06699m"	"C12366[m] <=> C12367[m] + C00001[m]"	"tetracenomycin-F2 hydro-lyase (tetracenomycin-F1-forming)"
"R07777m"	"C09762[m] + C00007[m] + C03024[m] <=> C15567[m] + C00001[m] + C03161[m]"	"liquiritigenin,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (hydroxylating, aryl migration)"
"R04155m"	"C03179[m] <=> C05780[m] + 2 C14819[m]"	"X"
"R12570m"	"C00342[m] + C15498[m] <=> C00343[m] + C00001[m] + C01335[m]"	"thioredoxin:hydroperoxide oxidoreductase"
"R12375m"	"C22119[m] + C00003[m] <=> C22122[m] + C00004[m] + C00011[m] + C00080[m]"	"3beta-hydroxyergosta-7,24(24(1))-dien-4alpha-carboxylate:NAD+ 3-oxidoreductase (decarboxylating)"
"R12912m"	"C12115[m] + C00005[m] + C00080[m] + C00007[m] <=> C22455[m] + C00006[m] + C00001[m]"	"3-amino-4-hydroxybenzoate,NADPH:oxygen oxidoreductase (2-hydroxylating)"
"R09106m"	"C00406[m] + C18218[m] <=> C00010[m] + C18217[m]"	"feruloyl-CoA:16-hydroxypalmitate feruloyltransferase"
"R11642m"	"C02420[m] + C03024[m] + C00007[m] <=> C02659[m] + C03161[m] + C00001[m]"	"X"
"R11631m"	"C10172[m] <=> C21514[m]"	"proline-betaine 2-epimerase"
"R05742m"	"C07347[m] + C00030[m] + C00007[m] <=> C07348[m] + C00028[m] + C00001[m]"	"thiophene-2-carbonyl-CoA,hydrogen-donor:oxygen oxidoreductase"
"R13349m"	"C11691[m] + C00006[m] <=> C22937[m] + C00005[m] + C00080[m]"	"stemmadenine:NADP+ 17-oxidoreductase"
"R05373m"	"C02557[m] <=> C00100[m] + C00011[m]"	"methylmalonyl-CoA carboxy-lyase"
"R05211m"	"C00019[m] + C06520[m] <=> C00021[m] + C02105[m]"	"S-adenosyl-L-methionine:(RS)-1-benzyl-1,2,3,4-tetrahydroisoquinolie N- methyltransferase"
"R07398m"	"C04248[m] + C00001[m] <=> C15658[m] + C00416[m]"	"glycoprotein-phosphatidylinositol phosphatidohydrolase"
"R08804m"	"C17748[m] + C00019[m] <=> C10462[m] + C00021[m]"	"S-adenosyl-L-methionine:1-(3,4-dihydroxyphenyl)-5-hydroxy-3-decanone O-methyltransferase"
"R07226m"	"C00227[m] + C00014[m] + C00343[m] + C00001[m] <=> C00037[m] + C00009[m] + C00342[m]"	"acetyl-phosphate ammonia:thioredoxin disulfide oxidoreductase (glycine-forming)"
"R06758m"	"C12456[m] + C00007[m] <=> C12457[m] + C00011[m]"	"3-(4-hydroxy-3-prenylphenyl)pyruvate:oxygen 1,2-oxidoreductase (4-hydroxy-3-prenylmandelate-forming)"
"R05968m"	"G10615[m] + G00097[m] <=> G10620[m] + G00099[m]"	"X"
"R12193m"	"C04088[m] + C22068[m] <=> C21999[m] + C00229[m]"	"octadecanoyl-[acyl-carrier protein]:KDO2-lipid-IVA O-octadecanoyltransferase"
"R13310m"	"C16826[m] <=> C22908[m] + C00013[m]"	"(2Z,6E)-farnesyl-diphosphate diphosphate-lyase (cyclizing, (+)-2-epi-prezizaene-forming)"
"R12722m"	"C22361[m] + C21097[m] <=> C00020[m] + C22362[m]"	"X"
"R10658m"	"C00019[m] + C20762[m] <=> C00021[m] + C20763[m]"	"S-adenosyl-L-methionine:3-O-phospho-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)]n-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-GlcNAc-alpha-diphospho-ditrans,octacis-undecaprenol 3-phospho-methyltransferase"
"R00189m"	"C00002[m] + C00857[m] + C00014[m] <=> C00020[m] + C00013[m] + C00003[m]"	"deamido-NAD+:ammonia ligase (AMP-forming)"
"R05902m"	"G10610[m] + G00097[m] <=> G10619[m] + G00102[m]"	"X"
"R01278m"	"C00154[m] + C00006[m] <=> C05272[m] + C00005[m] + C00080[m]"	"hexadecanoyl-CoA:NADP+ trans-2-oxidoreductase;"
"R10218m"	"C11101[m] + C00004[m] + C00080[m] <=> C20443[m] + C00003[m]"	"X"
"R01413m"	"C00178[m] + C00028[m] + C00001[m] <=> C05281[m] + C00030[m]"	"thymine:acceptor oxidoreductase"
"R02532m"	"C00547[m] + C00001[m] + C00007[m] <=> C05577[m] + C00014[m] + C00027[m]"	"4-[(1R)-2-amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)"
"R03601m"	"C00979[m] + C01528[m] <=> C05688[m] + C00033[m]"	"O3-acetyl-L-serine acetate-lyase (adding hydrogen sulfide)"
"R10298m"	"C12137[m] + C01175[m] <=> C08725[m] + C00482[m]"	"1-O-sinapoyl-beta-D-glucose:pelargonidin-3-O-beta-D-glucoside 5-O-beta-D-glucosyltransferase"
"R06015m"	"G10615[m] + G00015[m] <=> G10620[m] + G00178[m]"	"X"
"R04977m"	"C05782[m] <=> C06258[m] + C00032[m]"	"X"
"R13078m"	"C22571[m] <=> C22572[m] + C00011[m]"	"X"
"R02880m"	"C03329[m] + 2 C00007[m] + C00080[m] <=> C00757[m] + 2 C00027[m]"	"(S)-tetrahydroberberine:oxigen oxidoreductase"
"R08999m"	"C09305[m] + C00005[m] + C00007[m] + C00080[m] <=> C00841[m] + C00006[m] + C00001[m]"	"X"
"R09372m"	"2 C00005[m] + 2 C00080[m] + C18902[m] <=> 2 C00006[m] + 2 C00001[m] + C05703[m]"	"methaneselenol:NADP+ oxidoreductase"
"R02161m"	"C00390[m] + 2 C00125[m] <=> C00399[m] + 2 C00126[m] + 2 C00080[m]"	"ubiquinol:ferricytochrome-c oxidoreductase"
"R12106m"	"C21906[m] + C00003[m] <=> C21472[m] + C00004[m] + C00080[m]"	"3-oxochol-4-en-24-oyl-CoA Delta6-oxidoreductase"
"R09293m"	"C18324[m] + C04253[m] <=> C06028[m] + C04570[m]"	"(2S)-methylsuccinyl-CoA:electron-transfer flavoprotein oxidoreductase"
"R05357m"	"C06657[m] + C00001[m] <=> C06658[m] + C00086[m]"	"amidinoproclavaminate amidinohydrolase"
"R12411m"	"C22139[m] + C00026[m] + C00007[m] <=> C22140[m] + C00042[m] + C00011[m]"	"gamma-L-glutamyl-L-propargylglycine,2-oxoglutarate:oxygen oxidoreductase"
"R00032m"	"C02094[m] + C00007[m] <=> 2 C00376[m]"	"beta-carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)"
"R04236m"	"C03894[m] + C00003[m] <=> C03505[m] + C00004[m] + C00080[m]"	"propane-1,2-diol-1-phosphate:NAD+ oxidoreductase"
"R08682m"	"C17264[m] <=> C17265[m] + C00011[m]"	"3-alkylmalate oxidoreductase (decarboxylating)"
"R10204m"	"C20423[m] + C00019[m] + C00030[m] <=> C20440[m] + C01438[m] + C00073[m] + C05198[m] + C00028[m]"	"alpha-D-ribose-1-methylphosphonate-5-phosphate C-P-lyase (methane forming)"
"R03920m"	"C00002[m] + C02336[m] <=> C00008[m] + C05345[m]"	"ATP:D-fructose 6-phosphotransferase"
"R02094m"	"C00002[m] + C00364[m] <=> C00008[m] + C00363[m]"	"ATP:dTMP phosphotransferase"
"R07080m"	"C07535[m] + C00005[m] + C00007[m] + C00080[m] <=> C14850[m] + C00006[m] + C00001[m]"	"benzpyrene,NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)"
"R04210m"	"C03393[m] + C00003[m] <=> C06054[m] + C00004[m] + C00080[m]"	"4-phospho-D-erythronate:NAD+ 2-oxidoreductase"
"R10883m"	"C17352[m] <=> C17351[m]"	"nocardicin-C epimerase"
"R09477m"	"C00379[m] + C00003[m] <=> C00181[m] + C00004[m] + C00080[m]"	"xylitol:NAD+ oxidoreductase"
"R08963m"	"C03852[m] + C00006[m] <=> C03917[m] + C00005[m] + C00080[m]"	"androstan-3alpha,17beta-diol:NADP+ oxidoreductase"
"R09822m"	"C15682[m] + C00019[m] <=> C15681[m] + C00021[m]"	"S-adenosyl-L-methionine:mycinamicin VI 2''-O-methyltransferase"
"R11474m"	"C21352[m] + C00005[m] + C00080[m] <=> C21353[m] + C00006[m]"	"dTDP-4-oxo-2-deoxy-beta-L-xylose:NADP+ oxidoreductase"
"R03358m"	"C04227[m] <=> C03765[m] + C00014[m]"	"1-(4-hydroxyphenyl)-2-aminoethanol hydro-lyase [deaminating; (4-hydroxyphenyl)acetaldehyde-forming];"
"R05773m"	"C07303[m] <=> C00755[m] + C00024[m]"	"feruloyl-CoA hydro-lyase/vanillin-lyase (acetyl-CoA-forming)"
"R11150m"	"C18315[m] + C00004[m] + C00007[m] + C00080[m] <=> C18316[m] + C00003[m] + C00088[m] + C00001[m]"	"4-methyl-5-nitrocatechol,NADH:oxygen 5-oxidoreductase (5-hydroxylating, nitrite-forming)"
"R12025m"	"C21859[m] + C00003[m] <=> C06644[m] + C00004[m] + C00080[m]"	"X"
"R10914m"	"C20937[m] + 2 C00126[m] + C00007[m] + C00080[m] <=> C00088[m] + 2 C00125[m] + C00001[m]"	"X"
"R01157m"	"C00179[m] + C00001[m] <=> C00134[m] + C00086[m]"	"agmatine amidinohydrolase"
"R01134m"	"C00130[m] + C00014[m] + C00006[m] <=> C00144[m] + C00005[m] + C00080[m]"	"inosine-5'-phosphate:NADP+ oxidoreductase (aminating);"
"R00215m"	"C00497[m] + C00003[m] <=> C00022[m] + C00011[m] + C00004[m] + C00080[m]"	"(R)-malate:NAD+ oxidoreductase (decarboxylating)"
"R09935m"	"C20230[m] + C00005[m] + C00080[m] + C00007[m] <=> C02213[m] + C00006[m] + C00001[m]"	"(+)-sabinene,NADPH:oxygen oxidoreductase (3-hydroxylating)"
"R08934m"	"C18035[m] <=> C11915[m]"	"dTDP-3-methyl-4-oxo-2,6-dideoxy-D-glucose 5-epimerase"
"R10959m"	"C00019[m] + C20977[m] <=> C00021[m] + C12381[m]"	"S-adenosyl-L-methionine:8-demethyl-8-(2,3,4-tri-O-methyl-alpha-L-rhamnosyl)tetracenomycin-C O-methyltransferase"
"R04741m"	"C05262[m] + C00003[m] <=> C05263[m] + C00004[m] + C00080[m]"	"(S)-3-hydroxydodecanoyl-CoA:NAD+ oxidoreductase"
"R01034m"	"C00116[m] + C00003[m] <=> C00184[m] + C00004[m] + C00080[m]"	"glycerol:NAD+ 2-oxidoreductase"
"R05670m"	"C07025[m] <=> C07026[m]"	"X"
"R05322m"	"C02593[m] + C00004[m] + C00007[m] + C00080[m] <=> C06737[m] + C00003[m] + 2 C00001[m]"	"n-tetradecanoyl-CoA,NADH:O2 oxidoreductase [11-(Z) desaturating]"
"R03468m"	"C00128[m] + C03692[m] <=> C00055[m] + C04872[m]"	"CMP-N-acetylneuraminate:1,2-diacyl-3-beta-D-galactosyl-sn-glycerol N-acetylneuraminyltransferase"
"R08789m"	"C00019[m] + C03329[m] <=> C00021[m] + C02915[m]"	"S-adenosyl-L-methionine:(S)-canadine N-methyltransferase"
"R06419m"	"C09893[m] + C00005[m] + C00080[m] <=> C00843[m] + C00006[m]"	"(-)-menthone:NADP+ oxidoreductase"
"R12287m"	"C02843[m] + C01083[m] <=> C22061[m] + C00010[m]"	"long-chain-fatty acyl-CoA:alpha,alpha-trehalose 2-acyltransferase"
"R06343m"	"C11865[m] <=> C11854[m]"	"(gibberellin-1),2-oxoglutarate:oxygen oxidoreductase (2beta-hydroxylating)"
"R03753m"	"C02956[m] + C00006[m] <=> C01881[m] + C00005[m] + C00080[m]"	"7beta-hydroxysteroid:NADP+ 7-oxidoreductase"
