"Abbreviation"	"Description"	"Formula"
"C19907[m]"	"Pyrrole"	"C4H5N"
"C19908[m]"	"(+)-beta-Chamigrene"	"C15H24"
"C19909[m]"	"N-Acetyl-alpha-neuraminate"	"C11H19NO9"
"C19910[m]"	"N-Acetyl-beta-neuraminate"	"C11H19NO9"
"C19911[m]"	"Iminodiacetate"	"C4H7NO4"
"C19918[m]"	"Parkeol"	"C30H50O"
"C19929[m]"	"N(alpha)-Acetyl-L-2,4-diaminobutyrate"	"C6H12N2O3"
"C19931[m]"	"Raucaffrinoline"	"C21H24N2O3"
"C19932[m]"	"Perakine"	"C21H22N2O3"
"C19933[m]"	"Prosolanapyrone II"	"C18H24O4"
"C19934[m]"	"Prosolanapyrone III"	"C18H22O4"
"C19935[m]"	"Azide"	"N3"
"C19936[m]"	"(9R,10E,12Z,15Z)-9-Hydroperoxyoctadeca-10,12,15-trienoate"	"C18H30O4"
"C19937[m]"	"(8E,10R,12Z)-10-Hydroperoxy-8,12-octadecadienoate"	"C18H32O4"
"C19938[m]"	"Pentalen-13-ol"	"C15H24O"
"C19939[m]"	"Pentalen-13-al"	"C15H22O"
"C19942[m]"	"11alpha-Hydroxy-beta-amyrin"	"C30H50O2"
"C19943[m]"	"11-Oxo-beta-amyrin"	"C30H48O2"
"C19944[m]"	"3-Hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione"	"C19H24O3"
"C19945[m]"	"3-Oxo-5,6-dehydrosuberyl-CoA"	"C29H44N7O20P3S"
"C19946[m]"	"3-Oxo-5,6-dehydrosuberyl-CoA semialdehyde"	"C29H44N7O19P3S"
"C19947[m]"	"dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose"	"C16H27N3O14P2"
"C19948[m]"	"dTDP-3-dimethylamino-3,6-dideoxy-alpha-D-galactopyranose"	"C18H31N3O14P2"
"C19960[m]"	"dTDP-3-dehydro-6-deoxy-alpha-D-galactopyranose"	"C16H24N2O15P2"
"C19961[m]"	"UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine"	"C17H28N4O15P2"
"C19962[m]"	"13-cis-Retinol"	"C20H30O"
"C19965[m]"	"beta-D-4-Deoxy-Delta4-GlcA-(1->4)-beta-D-Glc-(1->4)-alpha-L-Rha-(1->3)-D-Glc"	"C24H38O20"
"C19966[m]"	"beta-D-Glc-(1->4)-alpha-L-Rha-(1->3)-D-Glc"	"C18H32O15"
"C19967[m]"	"8-Oxo-dGTP"	"C10H16N5O14P3"
"C19968[m]"	"8-Oxo-dGMP"	"C10H14N5O8P"
"C19969[m]"	"2-Hydroxy-dATP"	"C10H16N5O13P3"
"C19970[m]"	"2-Hydroxy-dAMP"	"C10H14N5O7P"
"C19971[m]"	"UDP-2,4-bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose"	"C19H30N4O16P2"
"C19972[m]"	"2,4-Bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose"	"C10H18N2O5"
"C19973[m]"	"(+)-beta-Caryophyllene"	"C15H24"
"C19974[m]"	"(+)-Caryolan-1-ol"	"C15H26O"
"C19975[m]"	"2-Oxepin-2(3H)-ylideneacetyl-CoA"	"C29H42N7O18P3S"
"C19999[m]"	"Cylindrospermopsin"	"C15H21N5O7S"
"C20045[m]"	"Verruculogen"	"C27H33N3O7"
"C20062[m]"	"2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA"	"C29H42N7O18P3S"
"C20082[m]"	"Pseudaminic acid"	"C13H22N2O8"
"C20083[m]"	"CMP-pseudaminic acid"	"C22H34N5O15P"
"C20119[m]"	"Protein-cysteine"	"C11H15N5O6SR4(C2H2NOR)n"
"C20120[m]"	"S-Farnesyl protein"	"C26H39N5O6SR4(C2H2NOR)n"
"C20121[m]"	"trans,trans-Farnesyl phosphate"	"C15H27O4P"
"C20125[m]"	"Dibenzothiophene"	"C12H8S"
"C20134[m]"	"19-Chloroproansamitocin"	"C25H32ClNO6"
"C20135[m]"	"20-O-Methyl-19-chloroproansamitocin"	"C26H34ClNO6"
"C20136[m]"	"N-Demethyl-desepoxymaytansinol"	"C27H35ClN2O7"
"C20137[m]"	"N-Demethyl-desepoxyansamitocin P-3"	"C31H41ClN2O8"
"C20138[m]"	"N-Demethylansamitocin P-3"	"C31H41ClN2O9"
"C20139[m]"	"Ansamitocinoside P-3"	"C37H51ClN2O14"
"C20140[m]"	"4''-O-Carbamoyl ansamitocinoside P-3"	"C38H52ClN3O15"
"C20143[m]"	"(25S)-26-Hydroxycholest-4-en-3-one"	"C27H44O2"
"C20144[m]"	"Androsta-1,4-diene-3,17-dione"	"C19H24O2"
"C20145[m]"	"ent-Isokaurene"	"C20H32"
"C20146[m]"	"ent-2alpha-Hydroxyisokaurene"	"C20H32O"
"C20147[m]"	"9beta-Pimara-7,15-dien-19-ol"	"C20H32O"
"C20148[m]"	"9beta-Pimara-7,15-dien-19-al"	"C20H30O"
"C20149[m]"	"9beta-Pimara-7,15-dien-19-oate"	"C20H30O2"
"C20150[m]"	"ent-11beta-Hydroxycassa-12,15-diene"	"C20H32O"
"C20151[m]"	"10beta,14beta-Dihydroxytaxa-4(20),11-dien-5alpha-yl acetate"	"C22H34O4"
"C20152[m]"	"Taxusin"	"C28H40O8"
"C20153[m]"	"7beta-Hydroxytaxusin"	"C28H40O9"
"C20154[m]"	"3-Methoxy-4',5-dihydroxy-trans-stilbene"	"C15H14O3"
"C20155[m]"	"8-Oxoguanine"	"C5H5N5O2"
"C20156[m]"	"dTDP-3-acetamido-3,6-dideoxy-alpha-D-galactopyranose"	"C18H29N3O15P2"
"C20158[m]"	"(13E)-Labda-7,13-dien-15-ol"	"C20H34O"
"C20159[m]"	"7-epi-alpha-Selinene"	"C15H24"
"C20161[m]"	"alpha-Guaiene"	"C15H24"
"C20162[m]"	"Viridiflorene"	"C15H24"
"C20163[m]"	"5-epi-alpha-Selinene"	"C15H24"
"C20172[m]"	"Cubebol"	"C15H26O"
"C20173[m]"	"(+)-gamma-Cadinene"	"C15H24"
"C20174[m]"	"delta-Guaiene"	"C15H24"
"C20175[m]"	"Bicyclogermacrene"	"C15H24"
"C20176[m]"	"8-Oxo-dGDP"	"C10H15N5O11P2"
"C20177[m]"	"7-epi-Sesquithujene"	"C15H24"
"C20178[m]"	"Sesquithujene"	"C15H24"
"C20179[m]"	"gamma-Curcumene"	"C15H24"
"C20180[m]"	"(-)-alpha-Cuprenene"	"C15H24"
"C20181[m]"	"Avermitilol"	"C15H26O"
"C20182[m]"	"(-)-delta-Cadinene"	"C15H24"
"C20183[m]"	"N7-Methylguanosine 5'-diphosphate"	"C11H18N5O11P2"
"C20184[m]"	"(+)-T-Muurolol"	"C15H26O"
"C20185[m]"	"(12E)-9alpha-Labda-8(17),12,14-triene"	"C20H32"
"C20186[m]"	"5S,8R-DiHODE"	"C18H32O4"
"C20187[m]"	"Achilleol B"	"C30H50O"
"C20188[m]"	"Glutinol"	"C30H50O"
"C20189[m]"	"Baccharis oxide"	"C30H50O"
"C20190[m]"	"P1,P6-Bis(5'-adenosyl)hexaphosphate"	"C20H30N10O25P6"
"C20191[m]"	"alpha-seco-Amyrin"	"C30H50O"
"C20192[m]"	"Marneral"	"C30H50O"
"C20193[m]"	"beta-seco-Amyrin"	"C30H50O"
"C20194[m]"	"delta-Amyrin"	"C30H50O"
"C20195[m]"	"Tirucalla-7,24-dien-3beta-ol"	"C30H50O"
"C20198[m]"	"Adenosine 5'-pentaphosphate"	"C10H18N5O19P5"
"C20199[m]"	"3-[(3aS,4S,7aS)-7a-Methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate"	"C13H18O4"
"C20200[m]"	"Baruol"	"C30H50O"
"C20201[m]"	"(-)-Solanapyrone A"	"C18H22O4"
"C20208[m]"	"syn-Stemoden-19-oate"	"C20H30O2"
"C20221[m]"	"(6E)-8-Oxolinalool"	"C10H16O2"
"C20222[m]"	"(6E)-8-Hydroxygeranial"	"C10H16O2"
"C20223[m]"	"(6E)-8-Oxogeraniol"	"C10H16O2"
"C20224[m]"	"Coniferyl ester"	"C11H11O4R"
"C20225[m]"	"Coniferyl acetate"	"C12H14O4"
"C20226[m]"	"Benzil"	"C14H10O2"
"C20227[m]"	"(S)-Benzoin"	"C14H12O2"
"C20228[m]"	"(R)-Benzoin"	"C14H12O2"
"C20229[m]"	"10-Hydroxy-alpha-humulene"	"C15H24O"
"C20230[m]"	"(+)-Sabinene"	"C10H16"
"C20231[m]"	"(Z)-3-Ureidoacrylate peracid"	"C4H6N2O4"
"C20232[m]"	"(Z)-2-Methylureidoacrylate peracid"	"C5H8N2O4"
"C20233[m]"	"17-Hydroxylupanine"	"C15H24N2O2"
"C20234[m]"	"(3R)-5-Guanidino-3-methyl-2-oxopentanoate"	"C7H13N3O3"
"C20235[m]"	"(E)-2-Methylgeranyl diphosphate"	"C11H22O7P2"
"C20236[m]"	"4-O-beta-D-Mannopyranosyl-D-glucopyranose"	"C12H22O11"
"C20237[m]"	"alpha-Maltose 1-phosphate"	"C12H23O14P"
"C20238[m]"	"(2R)-Ethylmalonyl-CoA"	"C26H42N7O19P3S"
"C20239[m]"	"6-Carboxy-5,6,7,8-tetrahydropterin"	"C7H9N5O3"
"C20240[m]"	"(2Z,4Z)-2-Hydroxyhexa-2,4-dienoate"	"C6H8O3"
"C20241[m]"	"Tricyclene"	"C10H16"
"C20242[m]"	"(-)-Sabinene"	"C10H16"
"C20243[m]"	"2-Methylisoborneol"	"C11H20O"
"C20244[m]"	"(+)-beta-Pinene"	"C10H16"
"C20245[m]"	"UDP-N-acetyl-alpha-D-glucosamine 3'-phosphate"	"C17H28N3O20P3"
"C20246[m]"	"2-[(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate"	"C7H10NO6PS"
"C20247[m]"	"2-(2-Carboxy-4-methylthiazol-5-yl)ethyl phosphate"	"C7H10NO6PS"
"C20248[m]"	"7-Carboxy-7-carbaguanine"	"C7H6N4O3"
"C20249[m]"	"(Z)-3-Peroxyaminoacrylate"	"C3H5NO3"
"C20250[m]"	"(Z)-2-Methylperoxyaminoacrylate"	"C4H7NO3"
"C20251[m]"	"1-Keto-D-chiro-inositol"	"C6H10O6"
"C20252[m]"	"5-Androstene-3,17-dione"	"C19H26O2"
"C20253[m]"	"Aminoacrylate"	"C3H5NO2"
"C20254[m]"	"Ureidoacrylate"	"C4H6N2O3"
"C20255[m]"	"Methylaminoacrylate"	"C4H7NO2"
"C20256[m]"	"Methylureidoacrylate"	"C5H8N2O3"
"C20258[m]"	"(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate"	"C7H9NO5"
"C20260[m]"	"(+)-Thujan-3-one"	"C10H16O"
"C20261[m]"	"(+)-Thujan-3-ol"	"C10H18O"
"C20262[m]"	"Zerumbone"	"C15H22O"
"C20263[m]"	"L-threo-7,8-Dihydrobiopterin"	"C9H13N5O3"
"C20264[m]"	"L-threo-Tetrahydrobiopterin"	"C9H15N5O3"
"C20265[m]"	"2,3-Epoxymenaquinone"	"C16H16O3(C5H8)n"
"C20267[m]"	"4-Amino-5-aminomethyl-2-methylpyrimidine"	"C6H10N4"
"C20270[m]"	"Copal-8-ol diphosphate"	"C20H38O8P2"
"C20271[m]"	"[(1R)-2,2,3-Trimethyl-5-oxocyclopent-3-enyl]acetate"	"C10H14O3"
"C20272[m]"	"alpha-Muurolene"	"C15H24"
"C20273[m]"	"gamma-Muurolene"	"C15H24"
"C20274[m]"	"beta-Copaene"	"C15H24"
"C20275[m]"	"(+)-Sativene"	"C15H24"
"C20276[m]"	"Tetraprenyl-beta-curcumene"	"C35H56"
"C20277[m]"	"(2R,3R)-3-Methylornithine"	"C6H14N2O2"
"C20278[m]"	"(2R,3R)-3-Methylornithinyl-N6-lysine"	"C12H26N4O3"
"C20279[m]"	"(2R,3R)-3-Methylglutamyl-5-semialdehyde-N6-lysine"	"C12H23N3O4"
"C20292[m]"	"Tetramethylammonium"	"C4H12N"
"C20297[m]"	"Narcotine hemiacetal"	"C22H25NO7"
"C20299[m]"	"Papaveroxine"	"C22H25NO7"
"C20300[m]"	"Dimethylarsinous acid"	"C2H7AsO"
"C20303[m]"	"Chloroethylene oxide"	"C2H3ClO"
"C20307[m]"	"Artemisinic alcohol"	"C15H24O"
"C20308[m]"	"Artemisinic aldehyde"	"C15H22O"
"C20309[m]"	"Artemisinate"	"C15H22O2"
"C20310[m]"	"N-Hydroxy-L-isoleucine"	"C6H13NO3"
"C20311[m]"	"N,N-Dihydroxy-L-isoleucine"	"C6H13NO4"
"C20312[m]"	"(Z)-2-Methylbutanal oxime"	"C5H11NO"
"C20313[m]"	"N-Hydroxy-L-valine"	"C5H11NO3"
"C20314[m]"	"N,N-Dihydroxy-L-valine"	"C5H11NO4"
"C20315[m]"	"(Z)-2-Methylpropanal oxime"	"C4H9NO"
"C20320[m]"	"Bornane-2,6-dione"	"C10H14O2"
"C20321[m]"	"[(2R)-3,3,4-Trimethyl-6-oxo-3,6-dihydro-1H-pyran-2-yl]acetyl-CoA"	"C31H48N7O19P3S"
"C20322[m]"	"(+)-6-exo-Hydroxycamphor"	"C10H16O2"
"C20323[m]"	"(+)-6-endo-Hydroxycamphor"	"C10H16O2"
"C20324[m]"	"[(1S)-4-Hydroxy-2,2,3-trimethylcyclopent-3-enyl]acetate"	"C10H16O3"
"C20325[m]"	"(11R)-Dihydroartemisinic aldehyde"	"C15H24O"
"C20326[m]"	"2-exo-Hydroxy-1,8-cineole"	"C10H18O2"
"C20327[m]"	"2-Oxo-4-phenylbutyric acid"	"C10H10O3"
"C20328[m]"	"N-Acetyl-alpha-D-glucosamine"	"C8H15NO6"
"C20329[m]"	"Abieta-7,13-dien-18,18-diol"	"C20H32O2"
"C20330[m]"	"5-Hydroxy-L-arginine"	"C6H14N4O3"
"C20333[m]"	"N2-Citryl-N6-acetyl-N6-hydroxy-L-lysine"	"C14H22N2O10"
"C20345[m]"	"Isopentenyl phosphate"	"C5H11O4P"
"C20350[m]"	"2'-Deamino-2'-hydroxyneamine"	"C12H25N3O7"
"C20351[m]"	"2'-Deamino-2'-hydroxy-6'-dehydroparomamine"	"C12H22N2O8"
"C20352[m]"	"trans,octacis-Decaprenylphospho-beta-D-ribofuranose 5-phosphate"	"C55H92O11P2"
"C20353[m]"	"2'-Deamino-2'-hydroxyparomamine"	"C12H24N2O8"
"C20354[m]"	"3-O-alpha-D-Glucopyranosyl-L-rhamnopyranose"	"C12H22O10"
"C20357[m]"	"UDP-N,N'-diacetylbacillosamine"	"C19H30N4O16P2"
"C20359[m]"	"UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate"	"C17H26N4O17P2"
"C20361[m]"	"Pseudooxynicotine"	"C10H14N2O"
"C20366[m]"	"2-Oxo-3-(5-oxofuran-2-ylidene)propanoate"	"C7H4O5"
"C20367[m]"	"4-Nitro-6-oxohepta-2,4-dienedioate"	"C7H5NO7"
"C20368[m]"	"trans,octacis-Decaprenylphospho-beta-D-ribofuranose"	"C55H91O8P"
"C20369[m]"	"trans,octacis-Decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose"	"C55H89O8P"
"C20370[m]"	"trans,octacis-Decaprenylphospho-beta-D-arabinofuranose"	"C55H91O8P"
"C20371[m]"	"Ecgonone methyl ester"	"C10H15NO3"
"C20372[m]"	"3-Ketoglutaryl-[acp] methyl ester"	"C6H7O4SR"
"C20373[m]"	"3-Hydroxyglutaryl-[acp] methyl ester"	"C6H9O4SR"
"C20374[m]"	"Enoylglutaryl-[acp] methyl ester"	"C6H7O3SR"
"C20375[m]"	"Glutaryl-[acp] methyl ester"	"C6H9O3SR"
"C20376[m]"	"3-Ketopimeloyl-[acp] methyl ester"	"C8H11O4SR"
"C20377[m]"	"3-Hydroxypimeloyl-[acp] methyl ester"	"C8H13O4SR"
"C20378[m]"	"Enoylpimeloyl-[acp] methyl ester"	"C8H11O3SR"
"C20379[m]"	"Chanoclavine-I aldehyde"	"C16H18N2O"
"C20380[m]"	"Mycophenolate"	"C17H20O6"
"C20381[m]"	"3,3'-Bipyridine-2,2',5,5',6,6'-hexol"	"C10H8N2O6"
"C20382[m]"	"Imidazol-2-one"	"C3H4N2O"
"C20383[m]"	"Mycophenolic acid O-acyl-glucuronide"	"C23H28O12"
"C20386[m]"	"Biotin sulfoxide"	"C10H16N2O4S"
"C20390[m]"	"N-Acetyl-alpha-D-glucosaminyl-diphospho-trans,octacis-decaprenol"	"C58H97NO12P2"
"C20394[m]"	"2-Hydroxybenzoyl-CoA"	"C28H40N7O18P3S"
"C20395[m]"	"UDP-2-acetamido-2-deoxy-alpha-D-ribo-hex-3-uluronate"	"C17H23N3O18P2"
"C20396[m]"	"Methylphosphonate"	"CH5O3P"
"C20397[m]"	"Pentalenolactone F"	"C15H18O5"
"C20398[m]"	"Pentalenolactone E"	"C15H18O4"
"C20399[m]"	"Pentalenolactone D"	"C15H20O4"
"C20400[m]"	"1-Deoxy-11-oxopentalenate"	"C15H20O3"
"C20402[m]"	"Neopentalenolactone D"	"C15H20O4"
"C20403[m]"	"1-Deoxy-11beta-hydroxypentalenate"	"C15H22O3"
"C20404[m]"	"1-Deoxypentalenate"	"C15H22O2"
"C20405[m]"	"Pentalenate"	"C15H22O3"
"C20406[m]"	"Cannabigerolate"	"C22H32O4"
"C20407[m]"	"Pentalenolactone"	"C15H16O5"
"C20408[m]"	"Festuclavine"	"C16H20N2"
"C20409[m]"	"6,8-Dimethyl-6,7-didehydroergoline"	"C16H19N2"
"C20410[m]"	"4-Dimethylallyl-L-abrine"	"C17H22N2O2"
"C20411[m]"	"3-Methyl-1,2-didehydro-2,3-dihydrosqualene"	"C31H52"
"C20412[m]"	"3,22-Dimethyl-1,2,23,24-tetradehydro-2,3,22,23-tetrahydrosqualene"	"C32H54"
"C20413[m]"	"3,5,7-Trioxododecanoyl-CoA"	"C33H52N7O20P3S"
"C20414[m]"	"4-Hydroxycoumarin"	"C9H6O3"
"C20415[m]"	"dTDP-4-acetamido-4,6-dideoxy-alpha-D-galactose"	"C18H29N3O15P2"
"C20416[m]"	"alpha-L-Rhamnopyranosyl-(1->3)-N-acetyl-alpha-D-glucosaminyl-diphospho-trans,octacis-decaprenol"	"C64H107NO16P2"
"C20417[m]"	"2,4-Dihydroxy-6-pentylbenzoate"	"C12H16O4"
"C20418[m]"	"N,N'-Diacetyllegionaminate"	"C13H22N2O8"
"C20419[m]"	"CMP-N,N'-diacetyllegionaminate"	"C22H34N5O15P"
"C20420[m]"	"tritrans,heptacis-Undecaprenyl phosphate"	"C55H91O4P"
"C20421[m]"	"N,N'-Diacetyl-alpha-D-bacillosaminyldiphospho-tritrans,heptacis-undecaprenol"	"C65H108N2O11P2"
"C20422[m]"	"alpha-D-Ribose 1-methylphosphonate 5-triphosphate"	"C6H16O16P4"
"C20423[m]"	"alpha-D-Ribose 1-methylphosphonate 5-phosphate"	"C6H14O10P2"
"C20424[m]"	"2,4-Diacetamido-2,4,6-trideoxy-D-mannopyranose"	"C10H18N2O5"
"C20427[m]"	"N-Acetyl-D-galactosaminyl-alpha-(1->3)-N,N'-diacetyl-alpha-D-bacillosaminyldiphospho-tritrans,heptacis-undecaprenol"	"C73H121N3O16P2"
"C20430[m]"	"(+)-Larreatricin"	"C18H20O3"
"C20431[m]"	"(+)-3'-Hydroxylarreatricin"	"C18H20O4"
"C20432[m]"	"C30 Botryococcene"	"C30H50"
"C20433[m]"	"3-Methyl-1,2-didehydro-2,3-dihydrobotryococcene"	"C31H52"
"C20434[m]"	"20-Methyl-21,22-didehydro-20,21-dihydrobotryococcene"	"C31H52"
"C20435[m]"	"3,20-Dimethyl-1,2,21,22-tetradehydro-2,3,20,21-tetrahydrobotryococcene"	"C32H54"
"C20436[m]"	"Fumigaclavine A"	"C18H22N2O2"
"C20437[m]"	"Fumigaclavine B"	"C16H20N2O"
"C20438[m]"	"Fumigaclavine C"	"C23H30N2O2"
"C20440[m]"	"alpha-D-Ribose 1,2-cyclic phosphate 5-phosphate"	"C5H10O10P2"
"C20441[m]"	"Furfuryl alcohol"	"C5H6O2"
"C20443[m]"	"5-Hydroxymethylfurfuryl alcohol"	"C6H8O3"
"C20444[m]"	"Dihydrodemethylsterigmatocystin"	"C17H12O6"
"C20445[m]"	"Dihydrosterigmatocystin"	"C18H14O6"
"C20446[m]"	"tRNA 7-aminomethyl-7-carbaguanine"	"C12H18N5O8P(C5H8O6PR)n(C5H8O6PR)n"
"C20447[m]"	"2-Oxoglutaryl-CoA"	"C26H40N7O20P3S"
"C20448[m]"	"5-Hydroxymethyl-2-furoate"	"C6H6O4"
"C20449[m]"	"5-Formyl-2-furoate"	"C6H4O4"
"C20450[m]"	"2,5-Furandicarboxylate"	"C6H4O5"
"C20451[m]"	"tRNA hypoxanthine"	"C10H13N4O8P(C5H8O6PR)n(C5H8O6PR)n"
"C20452[m]"	"Norsolorinic acid"	"C20H18O7"
"C20453[m]"	"Norsolorinic acid anthrone"	"C20H20O6"
"C20454[m]"	"(-)-Lariciresinol"	"C20H24O6"
"C20455[m]"	"(-)-Pinoresinol"	"C20H22O6"
"C20456[m]"	"(+)-Secoisolariciresinol"	"C20H26O6"
"C20457[m]"	"6,8-Dimethyl-6,7,8,9-tetradehydroergoline"	"C16H17N2"
"C20458[m]"	"tRNA(Ala) hypoxanthine"	"C10H13N4O8P(C5H8O6PR)n(C5H8O6PR)n"
"C20459[m]"	"tRNA(Ala) adenine"	"C10H14N5O7P(C5H8O6PR)n(C5H8O6PR)n"
"C20460[m]"	"Cyanidin 3-O-[6-O-(6-O-4-hydroxycinnamoyl-beta-D-glucosyl)-2-O-beta-D-xylosyl-beta-D-galactoside]"	"C41H45O22"
"C20461[m]"	"Anthocyanidin 3-O-[6-O-(4-hydroxycinnamoyl)-beta-D-glucoside]"	"C30H25O12R2"
"C20462[m]"	"5,7-Dihydroxy-2-methyl-4H-chromen-4-one"	"C10H8O4"
"C20463[m]"	"Purine deoxyribonucleoside"	"C10H12N4O3"
"C20464[m]"	"Isochavicol"	"C9H10O"
"C20465[m]"	"Coumaryl acetate"	"C11H12O3"
"C20466[m]"	"2,3-Bis-(O-geranylgeranyl)-sn-glycero-1-phospho-L-serine"	"C46H78NO8P"
"C20467[m]"	"Anthocyanidin 3-O-beta-D-sambubioside"	"C26H27O14R2"
"C20468[m]"	"Cyanidin 3-O-(beta-D-xylosyl-(1->2)-beta-D-galactoside)"	"C26H29O15"
"C20469[m]"	"Cyanidin 3,7-di-O-beta-D-glucoside"	"C27H31O16"
"C20470[m]"	"1-O-Vanilloyl-beta-D-glucose"	"C14H18O9"
"C20471[m]"	"Anthocyanidin 3-O-sophoroside"	"C27H29O15R2"
"C20472[m]"	"Anthocyanidin 3-O-[2-O-(4-coumaroyl)-alpha-L-rhamnosyl-(1->6)-beta-D-glucoside]"	"C36H35O16R2"
"C20473[m]"	"Anthocyanidin 3-O-[2-O-(4-coumaroyl)-alpha-L-rhamnosyl-(1->6)-beta-D-glucoside] 5-O-beta-D-glucoside"	"C42H45O21R2"
"C20474[m]"	"Anthocyanidin 5-O-beta-D-glucoside 3-O-beta-D-sambubioside"	"C32H37O19R2"
"C20475[m]"	"Sporulenol"	"C35H58O"
"C20476[m]"	"Delta6-Protoilludene"	"C15H24"
"C20477[m]"	"(-)-alpha-Isocomene"	"C15H24"
"C20478[m]"	"(E)-2-epi-beta-Caryophyllene"	"C15H24"
"C20479[m]"	"(+)-epi-alpha-Bisabolol"	"C15H26O"
"C20480[m]"	"Valerena-4,7(11)-diene"	"C15H24"
"C20481[m]"	"cis-Abienol"	"C20H34O"
"C20482[m]"	"(6R)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide"	"C21H31N7O15P2"
"C20483[m]"	"(6R)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide phosphate"	"C21H32N7O18P3"
"C20484[m]"	"9-cis-beta-Carotene"	"C40H56"
"C20485[m]"	"(4S)-4-Hydroxy-2-oxoglutarate"	"C5H6O6"
"C20486[m]"	"7-Epizingiberene"	"C15H24"
"C20487[m]"	"L-beta-Phenylalanine"	"C9H11NO2"
"C20488[m]"	"D-beta-Phenylalanine"	"C9H11NO2"
"C20489[m]"	"Pelargonidin 3-O-beta-D-sambubioside"	"C26H29O14"
"C20490[m]"	"Cyanidin 3-O-beta-D-sambubioside"	"C26H29O15"
"C20491[m]"	"Delphinidin 3-O-beta-D-sambubioside"	"C26H29O16"
"C20492[m]"	"Pelargonidin 5-O-beta-D-glucoside 3-O-beta-D-sambubioside"	"C32H39O19"
"C20493[m]"	"Cyanidin 5-O-beta-D-glucoside 3-O-beta-D-sambubioside"	"C32H39O20"
"C20494[m]"	"Delphinidin 5-O-beta-D-glucoside 3-O-beta-D-sambubioside"	"C32H39O21"
"C20495[m]"	"Pelargonidin 3,7-di-O-beta-D-glucoside"	"C27H31O15"
"C20496[m]"	"Delphinidin 3,7-di-O-beta-D-glucoside"	"C27H31O17"
"C20497[m]"	"N-Acetyl-beta-D-mannosaminuronosyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol"	"C71H116N2O18P2"
"C20498[m]"	"4-Acetamido-4,6-dideoxy-alpha-D-galactosyl-(1->4)-N-acetyl-beta-D-mannosaminuronosyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol"	"C79H129N3O22P2"
"C20499[m]"	"(1'S)-Averantin"	"C20H20O7"
"C20500[m]"	"(1'S,5'S)-5'-Hydroxyaverantin"	"C20H20O8"
"C20501[m]"	"(1'S,5'R)-5'-Hydroxyaverantin"	"C20H20O8"
"C20502[m]"	"5'-Oxoaverantin"	"C20H18O8"
"C20503[m]"	"1'-Hydroxyversicolorone"	"C20H16O8"
"C20504[m]"	"Versicolorone"	"C20H18O8"
"C20505[m]"	"Versiconal hemiacetal acetate"	"C20H16O9"
"C20506[m]"	"Versiconol acetate"	"C20H18O9"
"C20507[m]"	"Versiconal"	"C18H14O8"
"C20508[m]"	"Versiconol"	"C18H16O8"
"C20509[m]"	"2'-Dehydrokanamycin A"	"C18H34N4O11"
"C20510[m]"	"30-Hydroxy-11-oxo-beta-amyrin"	"C30H48O3"
"C20511[m]"	"Glycyrrhetaldehyde"	"C30H46O3"
"C20512[m]"	"Tryprostatin B"	"C21H25N3O2"
"C20513[m]"	"6-Hydroxytryprostatin B"	"C21H25N3O3"
"C20514[m]"	"Cyclo(L-leucyl-L-leucyl)"	"C12H22N2O2"
"C20515[m]"	"Pulcherriminic acid"	"C12H20N2O4"
"C20516[m]"	"Cyclo(L-tyrosyl-L-tyrosyl)"	"C18H18N2O4"
"C20517[m]"	"Mycocyclosin"	"C18H16N2O4"
"C20518[m]"	"2,3-Bis-(O-phytanyl)-sn-glycerol 1-phosphate"	"C43H89O6P"
"C20519[m]"	"Cyclo(L-leucyl-L-phenylalanyl)"	"C15H20N2O2"
"C20520[m]"	"Albonoursin"	"C15H16N2O2"
"C20521[m]"	"Cyclo[(Z)-alpha,beta-didehydrophenylalanyl-L-leucyl]"	"C15H18N2O2"
"C20522[m]"	"Dihydrourocanate"	"C6H8N2O2"
"C20525[m]"	"3-Geranylgeranylindole"	"C28H39N"
"C20526[m]"	"10,11-Epoxy-3-geranylgeranylindole"	"C28H39NO"
"C20527[m]"	"Emindole SB"	"C28H39NO"
"C20528[m]"	"Terpendole B"	"C27H35NO3"
"C20529[m]"	"14,15-Epoxyemindole SB"	"C28H39NO2"
"C20530[m]"	"Paspaline"	"C28H39NO2"
"C20531[m]"	"13-Desoxypaxilline"	"C27H33NO3"
