,Abbreviation,Description,Reaction
9872,ESTROSABCCte,Estrone-Sulphate Transport by ABCa11,h2o_c + atp_c + estrones_c <==> h_c + adp_c + pi_c + estrones_e
9873,FOLABCCte,Folate Transport by ABCa11,h2o_c + atp_c + fol_c <==> h_c + adp_c + pi_c + fol_e
9874,FOLOAT1tc,Folate Transport by Oat1,akg_c + na1_e + fol_e <==> na1_c + akg_e + fol_c
9875,GABABGTtc,GABA Transport by Bgt,na1_e + 4abut_e + cl_e <==> na1_c + 4abut_c + cl_c
9876,GLUB0AT3tc,Glutamate Transport by B0At3,na1_e + cl_e + glu__L_e <==> na1_c + glu__L_c + cl_c
9877,ILEB0AT3tc,Iso-Leucine Transport by B0At3,na1_e + cl_e + ile__L_e <==> na1_c + cl_c + ile__L_c
9878,LEUKABCtc,Leukotriene Transport by ABCa8,h2o_c + atp_c + leuktrC4_e <==> h_c + adp_c + pi_c + leuktrC4_c
9879,NACSMCTte,Nicotinate Transport by Smct1,na1_e + nac_e <==> na1_c + nac_c
9880,PGLYCABCte,Phosphatidylglycerol Transport by ABCa3,h2o_c + atp_c + pglyc_hs_c <==> h_c + adp_c + pi_c + pglyc_hs_e
9881,PHEB0AT3tc,Phenylalanine Transport by B0At3,na1_e + cl_e + phe__L_e <==> na1_c + cl_c + phe__L_c
9882,PHEMEABCte,Heme Transport by ABCg2,h2o_c + atp_c + pheme_c <==> h_c + adp_c + pi_c + pheme_e
9883,PPASMCT1,Propionate Transport by Smct1,na1_e + ppa_e <==> na1_c + ppa_c
9884,PSHSABCtc,Phosphatidylserine Transport by ABCa1,h2o_c + atp_c + ps_hs_c <==> h_c + adp_c + pi_c + ps_hs_e
9885,RETABCtc,Vitamin Transport by ABCa4,h2o_c + atp_c + retinal_e <==> h_c + adp_c + pi_c + retinal_c
9886,SRTNENT4tc,Serotonin Transport by Ent4,h_e + srtn_e <==> h_c + srtn_c
9887,TRPB0AT3tc,Tyrptophan Transport by B0At3,na1_e + cl_e + trp__L_e <==> na1_c + cl_c + trp__L_c
9888,TYRB0AT3tc,Tyrosine Transport by B0At3,na1_e + cl_e + tyr__L_e <==> na1_c + cl_c + tyr__L_c
9889,VALB0AT3tc,Valine Transport by B0At3,na1_e + cl_e + val__L_e <==> na1_c + cl_c + val__L_c
9890,ARGSUCte,Transport of L-Arginosuccinic Acid,argsuc_c <==> argsuc_e
9891,ACRNte,Transport of O-Acetylcarnitine,na1_c + acrn_c <==> na1_e + acrn_e
9892,PCRNte,Transport of O-Propanoylcarnitine,na1_c + pcrn_c <==> na1_e + pcrn_e
9893,ODECRNte,Transport of L-Oleoylcarnitine,na1_c + odecrn_c <==> na1_e + odecrn_e
9894,STCRNte,Transport of O-Octadecanoyl-R-Carnitine,na1_c + stcrn_c <==> na1_e + stcrn_e
9895,EX_stcrn_e,Exchange of O-Octadecanoyl-R-Carnitine,stcrn_e <==> 
9896,BIOMASS_maintenance,Biomass maintenance reaction without replication precursors,20.6508 h2o_c + 20.7045 atp_c + 0.38587 glu__L_c + 0.35261 asp__L_c + 0.036117 gtp_c + 0.50563 ala__L_c + 0.27942 asn__L_c + 0.046571 cys__L_c + 0.326 gln__L_c + 0.53889 gly_c + 0.39253 ser__L_c + 0.31269 thr__L_c + 0.59211 lys__L_c + 0.35926 arg__L_c + 0.15302 met__L_c + 0.023315 pail_hs_c + 0.039036 ctp_c + 0.15446 pchol_hs_c + 0.055374 pe_hs_c + 0.020401 chsterol_c + 0.002914 pglyc_hs_c + 0.011658 clpn_hs_c + 0.053446 utp_c + 0.27519 g6p_c + 0.12641 his__L_c + 0.15967 tyr__L_c + 0.28608 ile__L_c + 0.54554 leu__L_c + 0.013306 trp__L_c + 0.25947 phe__L_c + 0.41248 pro__L_c + 0.005829 ps_hs_c + 0.017486 sphmyln_hs_c + 0.35261 val__L_c <==> 20.6508 h_c + 20.6508 adp_c + 20.6508 pi_c
9897,BIOMASS_maintenance_noTrTr,"Biomass maintenance reaction without replication, transcription, and translation precursors",20.6508 h2o_c + 20.7045 atp_c + 0.023315 pail_hs_c + 0.15446 pchol_hs_c + 0.055374 pe_hs_c + 0.020401 chsterol_c + 0.002914 pglyc_hs_c + 0.011658 clpn_hs_c + 0.27519 g6p_c + 0.005829 ps_hs_c + 0.017486 sphmyln_hs_c <==> 20.6508 h_c + 20.6508 adp_c + 20.6508 pi_c
9898,C14825c,Formation of 9 (10)-Epome,o2_c + h_c + nadph_c + lnlc_c <==> h2o_c + nadp_c + C14825_c
9899,21HPRGNLONE,Formation of 21-Hydroxypregnenolone,o2_c + h_c + nadph_c + prgnlone_c <==> h2o_c + nadp_c + 21hprgnlone_c
9900,LCAT13e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Palmitoleoylglycerophosphocholine (Delta 9)",chsterol_e + pchol_hs_e <==> xolest2_hs_e + pcholpalme_hs_e
9901,LCAT15e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Stearoylglycerophosphocholine",chsterol_e + pchol_hs_e <==> xolest2_hs_e + pcholste_hs_e
9902,LCAT16e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Stearoylglycerophosphoethanolamine",chsterol_e + pe_hs_e <==> xolest2_hs_e + peste_hs_e
9903,LCAT18e,"Lecithin-Cholesterol Acyltransferase, Formation of 2-Linoleoylglycerophosphocholine",chsterol_e + pchol_hs_e <==> xolest2_hs_e + pchol2linl_hs_e
9904,LCAT19e,"Lecithin-Cholesterol Acyltransferase, Formation of 2-Linoleoylglycerophosphoethanolamine",chsterol_e + pe_hs_e <==> xolest2_hs_e + pe2linl_hs_e
9905,LCAT25e,"Lecithin-Cholesterol Acyltransferase, Formation of Cholesterol-Ester (18:1)",chsterol_e + pchol_hs_e <==> lpchol_hs_e + xolest181_hs_e
9906,LCAT29e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Pentadecanoylglycerophosphocholine",chsterol_e + pchol_hs_e <==> xolest2_hs_e + pcholn15_hs_e
9907,LCAT32e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-NoNADecanoylglycerophosphocholine",chsterol_e + pchol_hs_e <==> xolest2_hs_e + pcholn19_hs_e
9908,LCAT33e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Eicosenoylglycerophosphocholine (Delta 11)",chsterol_e + pchol_hs_e <==> xolest2_hs_e + pcholn201_hs_e
9909,LCAT35e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Eicosapentenoylglycerophosphocholine (Delta 5, 8, 11, 14, 17)",chsterol_e + pchol_hs_e <==> xolest2_hs_e + pcholn205_hs_e
9910,LCAT36e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Docosatetraenoylglycerophosphocholine (Delta 7, 10, 13, 16)",chsterol_e + pchol_hs_e <==> xolest2_hs_e + pcholn224_hs_e
9911,LCAT40e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Eicosatrienoylglycerophosphoethanolamine (Delta 11, 14, 17)",chsterol_e + pe_hs_e <==> xolest2_hs_e + pe203_hs_e
9912,LCAT41e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Docosahexenoylglyceroethanolamine (Delta 4, 7, 10, 13, 16, 19)",chsterol_e + pe_hs_e <==> xolest2_hs_e + pe226_hs_e
9913,LCAT42e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Docosatetraenoyglycerophosphoethanolamine (22:4, Delta 7, 10, 13, 16)",chsterol_e + pe_hs_e <==> xolest2_hs_e + pe224_hs_e
9914,LCAT43e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Dihomo-Linolenoylglycerophosphoethanolamine (20:3, Delta 8, 11, 14)",chsterol_e + pe_hs_e <==> xolest2_hs_e + pedh203_hs_e
9915,LCAT44e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Didecanoylglycerophosphoethanolamine (C12:0 Pe)",chsterol_e + pe_hs_e <==> xolest2_hs_e + pe12_hs_e
9916,LCAT46e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Tridecanoylglycerophosphoethanolamine (C13:0 Pe)",chsterol_e + pe_hs_e <==> xolest2_hs_e + pe13_hs_e
9917,LCAT48e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Heptadecanoylglycerophosphoethanolamine (C17:0 Pe)",chsterol_e + pe_hs_e <==> xolest2_hs_e + pe17_hs_e
9918,LCAT49e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Dihomo-Linolenoylglycerophosphocholine (20:3, Delta 8, 11, 14)",chsterol_e + pchol_hs_e <==> xolest2_hs_e + pcholn203_hs_e
9919,LCAT50e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-1-Lignocericylglycerophosphocholine (24:0)",chsterol_e + pchol_hs_e <==> xolest2_hs_e + pcholn24_hs_e
9920,LCAT51e,"Lecithin-Cholesterol Acyltransferase, Formation of Lysopc A C26:1 (Delta 5)",chsterol_e + pchol_hs_e <==> xolest2_hs_e + pcholn261_hs_e
9921,LCAT57e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Docosahexaenoylglycerophosphocholine",chsterol_e + pchol_hs_e <==> xolest2_hs_e + pcholdoc_hs_e
9922,LCAT5e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Eicosadienoylglycerophosphocholine (Delta 11, 14)",chsterol_e + pchol_hs_e <==> xolest2_hs_e + pcholeic_hs_e
9923,LCAT6e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Eicosatrienoylglycerophosphocholine (Delta 11, 14, 17)",chsterol_e + pchol_hs_e <==> xolest2_hs_e + pcholet_hs_e
9924,LCAT7e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Heptadecanoylglycerophosphocholine",chsterol_e + pchol_hs_e <==> xolest2_hs_e + pcholhep_hs_e
9925,LCAT8e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Linoleoylglycerophosphocholine (Delta 9, 12)",chsterol_e + pchol_hs_e <==> xolest2_hs_e + pchollinl_hs_e
9926,LCAT9e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Linoleoylglycerophosphoethanolamine (Delta 9, 12)",chsterol_e + pe_hs_e <==> xolest2_hs_e + pelinl_hs_e
9927,SMS11,"Sphingomyelin Synthase, Formation of Sm (D18:1/22:1)",pchol_hs_c + crm_hs_c <==> dag_hs_c + sphmyln181221_hs_c
9928,SMS12,"Sphingomyelin Synthase, Formation of Sm (D18:1/22:0)",pchol_hs_c + crm_hs_c <==> dag_hs_c + sphmyln18122_hs_c
9929,SMS16,"Sphingomyelin Synthase, Formation of Sm (D18:1/23:0)",pchol_hs_c + crm_hs_c <==> dag_hs_c + sphmyln18123_hs_c
9930,SMS14,"Sphingomyelin Synthase, Formation of Sm (D18:0/24:0)",pchol_hs_c + crm_hs_c <==> dag_hs_c + sphmyln1824_hs_c
9931,SMS15,"Sphingomyelin Synthase, Formation of Sm (D18:0/24:0)",pchol_hs_c + crm_hs_c <==> dag_hs_c + sphmyln1825_hs_c
9932,SMS2,"Sphingomyelin Synthase, Formation of Sm (D18:1/15:0)",pchol_hs_c + crm_hs_c <==> dag_hs_c + sphmyln18115_hs_c
9933,SMS3,"Sphingomyelin Synthase, Formation of Sm (D18:1/16:1)",pchol_hs_c + crm_hs_c <==> dag_hs_c + sphmyln181161_hs_c
9934,SMS4,"Sphingomyelin Synthase, Formation of Sm (D18:1/16:0)",pchol_hs_c + crm_hs_c <==> dag_hs_c + sphmyln18116_hs_c
9935,SMS6,"Sphingomyelin Synthase, Formation of Sm (D18:1/18:0)",pchol_hs_c + crm_hs_c <==> dag_hs_c + sphmyln18118_hs_c
9936,SMS7,"Sphingomyelin Synthase, Formation of Sm (D18:1/18:1)",pchol_hs_c + crm_hs_c <==> dag_hs_c + sphmyln181181_hs_c
9937,XOLEST205CEH,"Hydrolysis of 1-Timnodnoyl-Cholesterol, Cholesterol-Ester (20:5, Delta 5, 8, 11, 14, 17)",h2o_l + xolest205_hs_l <==> h_l + chsterol_l + tmndnc_l
9938,XOLEST226CEH,"Hydrolysis of Cholesteryl Docosahexanoate, Cholesterol-Ester (22:6, Delta 4, 7, 10, 13, 16, 19)",h2o_l + xolest226_hs_l <==> h_l + chsterol_l + crvnc_l
9939,LPS5e,"Lipase, Extracellular, Formation of 1-Palmitoylglycerol",h2o_e + dag_hs_e <==> h_e + Rtotal_e + magpalm_hs_e
9940,LPS7e,"Lipase, Extracellular, Formation of 1-Linoleoylglycerol",h2o_e + dag_hs_e <==> h_e + Rtotal_e + magarachi_hs_e
9941,PCHOLOLE_HSPLA2,Formation of 1-Oleoylglycerophosphocholine (Delta 9) by Phospholipase A2,h2o_c + pchol_hs_c <==> h_c + Rtotal2_c + pcholole_hs_c
9942,PEOLE_HSPLA2,Formation of 1-Oleoylglycerophosphoethanolamine (Delta 9) by Phospholipase A2,h2o_c + pe_hs_c <==> h_c + Rtotal2_c + peole_hs_c
9943,PCHOLPALME_HSPLA2,Formation of 1-Palmitoleoylglycerophosphocholine (Delta 9) by Phospholipase A2,h2o_c + pchol_hs_c <==> h_c + Rtotal2_c + pcholpalme_hs_c
9944,PCHOLPALM_HSPLA2,Formation of 1-Palmitoylglycerophosphocholine by Phospholipase A2,h2o_c + pchol_hs_c <==> h_c + Rtotal2_c + pcholpalm_hs_c
9945,PEPALM_HSPLA2,Formation of 1-Palmitoylglycerophosphoethanolamine by Phospholipase A2,h2o_c + pe_hs_c <==> h_c + Rtotal2_c + pepalm_hs_c
9946,PCHOLSTE_HSPLA2,Formation of 1-Stearoylglycerophosphocholine by Phospholipase A2,h2o_c + pchol_hs_c <==> h_c + Rtotal2_c + pcholste_hs_c
9947,PCHOL2PALM_HSPLA2,Formation of 2-Palmitoylglycerophosphocholine by Phospholipase A2,h2o_c + pchol_hs_c <==> h_c + Rtotal2_c + pchol2palm_hs_c
9948,PCHOLN15_HSPLA2,"Formation of 1-Pentadecanoylglycerophosphocholine, Sn1-Lpc (15:0) by Phospholipase A2",h2o_c + pchol_hs_c <==> h_c + Rtotal2_c + pcholn15_hs_c
9949,PCHOLN183_HSPLA2,"Formation of 1-Octadeca-Trienoylglycerophosphocholine, Sn1-Lpc (18:3, Delta 9, 12, 15) by Phospholipase A2",h2o_c + pchol_hs_c <==> h_c + Rtotal2_c + pcholn183_hs_c
9950,PCHOLN1836_HSPLA2,"Formation of 1-Octadeca-Trienoylglycerophosphocholine, Sn1-Lpc (18:3, Delta 6, 9, 12) by Phospholipase A2",h2o_c + pchol_hs_c <==> h_c + Rtotal2_c + pcholn1836_hs_c
9951,PCHOLN19_HSPLA2,"Formation of 1-NoNADecanoylglycerophosphocholine, Sn1-Lpc (19:0) by Phospholipase A2",h2o_c + pchol_hs_c <==> h_c + Rtotal2_c + pcholn19_hs_c
9952,PCHOLN204_HSPLA2,"Formation of 1-Eicosatetraenoylglycerophosphocholine (Delta 8, 11, 14, 17), Sn1-Lpc (20:4) by Phospholipase A2",h2o_c + pchol_hs_c <==> h_c + Rtotal2_c + pcholn204_hs_c
9953,PCHOLN205_HSPLA2,"Formation of 1-Eicosapentenoylglycerophosphocholine (Delta 5, 8, 11, 14, 17), Sn1-Lpc (20:5) by Phospholipase A2",h2o_c + pchol_hs_c <==> h_c + Rtotal2_c + pcholn205_hs_c
9954,PCHOLN2254_HSPLA2,"Formation of 1-Docosapentenoylglycerophosphocholine (Delta 4, 7, 10, 13, 16), Sn1-Lpc (22:5)-W6 by Phospholipase A2",h2o_c + pchol_hs_c <==> h_c + Rtotal2_c + pcholn2254_hs_c
9955,PE203_HSPLA2,"Formation of 1-Eicosatrienoylglycerophosphoethanolamine (Delta 11, 14, 17), Lpe (20:3) by Phospholipase A2",h2o_c + pe_hs_c <==> h_c + Rtotal2_c + pe203_hs_c
9956,PE224_HSPLA2,"Formation of 1-Docosatetraenoyglycerophosphoethanolamine (22:4, Delta 7, 10, 13, 16) by Phospholipase A2",h2o_c + pe_hs_c <==> h_c + Rtotal2_c + pe224_hs_c
9957,PEDH12_HSPLA2,Formation of 1-Didecanoylglycerophosphoethanolamine (C12:0 Pe) by Phospholipase A2,h2o_c + pe_hs_c <==> h_c + Rtotal2_c + pe12_hs_c
9958,PEDH14_HSPLA2,Formation of 1-Myristoylglycerophosphoethanolamine (C14:0 Pe) by Phospholipase A2,h2o_c + pe_hs_c <==> h_c + Rtotal2_c + pe14_hs_c
9959,PEDH161_HSPLA2,"Formation of 1-Hexadecenoylglycerophosphoethanolamine (C16:1 Pe, Delta 9) by Phospholipase A2",h2o_c + pe_hs_c <==> h_c + Rtotal2_c + pe161_hs_c
9960,PEDH13_HSPLA2,Formation of 1-Tridecanoylglycerophosphoethanolamine (C13:0 Pe) by Phospholipase A2,h2o_c + pe_hs_c <==> h_c + Rtotal2_c + pe13_hs_c
9961,PEDH17_HSPLA2,Formation of 1-Heptadecanoylglycerophosphoethanolamine (C17:0 Pe) by Phospholipase A2,h2o_c + pe_hs_c <==> h_c + Rtotal2_c + pe17_hs_c
9962,PAILAR_HSPLA2,Formation of 1-Arachidonoylglycerophosphoinositol by Phospholipase A2,h2o_c + pail_hs_c <==> h_c + Rtotal2_c + pailar_hs_c
9963,PCHOLN24_HSPLA2,"Formation of 1-Lignocericylglycerophosphocholine (24:0), Lysopc A C24 by Phospholipase A2",h2o_c + pchol_hs_c <==> h_c + Rtotal2_c + pcholn24_hs_c
9964,PCHOLN261_HSPLA2,Formation of Lysopc A C26:1 (Delta 5) by Phospholipase A2,h2o_c + pchol_hs_c <==> h_c + Rtotal2_c + pcholn261_hs_c
9965,PCHOLN281_HSPLA2,Formation of Lysopc A C28:1 (Delta 5) by Phospholipase A2,h2o_c + pchol_hs_c <==> h_c + Rtotal2_c + pcholn281_hs_c
9966,PCHOLN28_HSPLA2,Formation of Lysopc A C28:0 by Phospholipase A2,h2o_c + pchol_hs_c <==> h_c + Rtotal2_c + pcholn28_hs_c
9967,PCHOLDOC_HSPLA2,Formation of 1-Docosahexaenoylglycerophosphocholine by Phospholipase A2,h2o_c + pchol_hs_c <==> h_c + Rtotal2_c + pcholdoc_hs_c
9968,PCHOLDEIC_HSPLA2,"Formation of 1-Eicosadienoylglycerophosphocholine (Delta 11, 14) by Phospholipase A2",h2o_c + pchol_hs_c <==> h_c + Rtotal2_c + pcholeic_hs_c
9969,PCHOLDET_HSPLA2,"Formation of 1-Eicosatrienoylglycerophosphocholine (Delta 11, 14, 17) by Phospholipase A2",h2o_c + pchol_hs_c <==> h_c + Rtotal2_c + pcholet_hs_c
9970,PCHOLLINL_HSPLA2,"Formation of 1-Linoleoylglycerophosphocholine (Delta 9, 12) by Phospholipase A2",h2o_c + pchol_hs_c <==> h_c + Rtotal2_c + pchollinl_hs_c
9971,PELINL_HSPLA2,"Formation of 1-Linoleoylglycerophosphoethanolamine (Delta 9, 12) by Phospholipase A2",h2o_c + pe_hs_c <==> h_c + Rtotal2_c + pelinl_hs_c
9972,CE4843HYDc,"Acylcoa Hydrolase, Cis, Cis-11, 14-Eicosadienoyl Coenzyme A",h2o_c + CE4843_c <==> h_c + coa_c + eidi1114ac_c
9973,TETDECA511ACc,"Hydrolysis of Tetradecadienoyl Coenzyme A to Cis-5, 8-Tetradecadienoic Acid ",h2o_c + tetdec2coa_c <==> h_c + coa_c + tetdeca511ac_c
9974,ACLYSHYc,Hydrolysis of Acetyl-Lysine,h2o_c + aclys_c <==> ac_c + lys__L_c
9975,HMCARNc,Formation of Homocarnosine,atp_c + 4abut_c + his__L_c <==> h_c + amp_c + ppi_c + hmcarn_c
9976,METTRANSc,Methionine Transaminase,pyr_c + met__L_c <==> ala__L_c + 4mtob_c
9977,ELAIDCRNte,"Transport of Elaidic Carnitine, Sodium Symport",na1_c + elaidcrn_c <==> na1_e + elaidcrn_e
9978,LNLCCRNNAt,"Transport of Linoleyl Carnitine, Sodium Symport",na1_c + lnlccrn_c <==> na1_e + lnlccrn_e
9979,PHLACHt,Transport of Phenyl Lactate,h_c + phlac_c <==> h_e + phlac_e
9980,12HPETATP,"Transport of 12-Hydroperoxyeicosa-5, 8, 10, 14-Tetraenoate, by FATP",h2o_c + atp_c + 12HPET_c <==> h_c + adp_c + pi_c + 12HPET_e
9981,15KPROSTGF2t,"Transport of 15-Keto-Prostaglandin F2A, Lactate Antiport",lac__L_e + 15kprostgf2_c <==> lac__L_c + 15kprostgf2_e
9982,21HPRGNLONEt1,"Transport of 21-Hydroxypregnenolone, Active Transport",h2o_c + atp_c + 21hprgnlone_c <==> h_c + adp_c + pi_c + 21hprgnlone_e
9983,21HPRGNLONEt2,"Transport of 21-Hydroxypregnenolone, Diffusion",21hprgnlone_c <==> 21hprgnlone_e
9984,34HPLte,Transport of 3- (4-Hydroxyphenyl)Lactate,h_c + 34hpl_c <==> h_e + 34hpl_e
9985,3MHISt1,Transport of Methyl-Histidine by System N Transport,na1_c + 3mhis_c <==> na1_e + 3mhis_e
9986,3MHISt2,Transport of Methyl-Histidine by System L Transport (Lat1),leu__L_c + 3mhis_e <==> leu__L_e + 3mhis_c
9987,4AABUTNt,Diffusion of 4-Acetamidobutanoate,4aabutn_e <==> 4aabutn_c
9988,4TMEABUTNt1,"Transport of 4- (Trimethylammonio)Butanoate, Sodium Symport",na1_c + 4tmeabutn_c <==> na1_e + 4tmeabutn_e
9989,4TMEABUTNt2,"Transport of 4- (Trimethylammonio)Butanoate, Proton Symport",h_c + 4tmeabutn_c <==> h_e + 4tmeabutn_e
9990,56DTHMt,"Transport of 5, 6-Dihydrothymine, Sodium Symport",na1_c + 56dthm_c <==> na1_e + 56dthm_e
9991,56DTHMtd,"Transport of 5, 6-Dihydrothymine, Diffusion",56dthm_c <==> 56dthm_e
9992,5AOPt,"Transport of 5-Amino-4-Oxopentanoate, Proton Symport",2.0 h_c + 5aop_c <==> 2.0 h_e + 5aop_e
9993,5HPETATP,"Transport of 5(S)-HPETE, Active Transport",h2o_c + atp_c + 5HPET_c <==> h_c + adp_c + pi_c + 5HPET_e
9994,ABTD1,L-Arabinitol 4-Dehydrogenase,nad_c + abt__D_c <==> h_c + nadh_c + xylu__L_c
9995,ACLYSt,"Transport of Acetyl-Lysine, Extracellular",aclys_c <==> aclys_e
9996,ACTHRtc,Intra-Cellular Transport of Acetyl-Threonine ,acthr__L_m <==> acthr__L_c
9997,ACTHRte,Extracellular Transport of Acetyl-Threonine,acthr__L_c <==> acthr__L_e
9998,ADPACtd,"Transport of Adipic Acid, Diffusion",adpac_c <==> adpac_e
9999,ADPOHt,Secretion of 2-Hydroxyadipic Acid,adpoh_c <==> adpoh_e
10000,AND19ONEt,"Secretion of 19-Hydroxyandrost-4-Ene-3, 17-Dione",and19one_c <==> and19one_e
10001,ARACHETH,Formation of O-Arachidonoyl Ethanolamine,h2o_e + pear_hs_e <==> h_e + pa_hs_e + aracheth_e
10002,BILIVERDt,Transport of Biliverdin,na1_c + biliverd_c <==> na1_e + biliverd_e
10003,C02712te,"Transport of N-Acetylmethionine, Extracellular",na1_c + C02712_c <==> na1_e + C02712_e
10004,C02712tm,"Transport of N-Acetylmethionine, Intracellular",C02712_c <==> C02712_m
10005,C03990ATP,"Transport of Lithocholate, Active Transport",h2o_c + atp_c + HC02191_c <==> h_c + adp_c + pi_c + HC02191_e
10006,C03990tr,"Transport of Lithocholate, Intracellular",HC02191_r <==> HC02191_c
10007,C03990tx,"Transport of Lithocholate, Intracellular",HC02191_x <==> HC02191_c
10008,C04483t2,"Transport of Deoxycholate, Antiport with Bicarbonate",hco3_e + dchac_c <==> hco3_c + dchac_e
10009,C04805ATP,"Transport of 5(S)-HETE, Active Transport",h2o_c + atp_c + C04805_c <==> h_c + adp_c + pi_c + C04805_e
10010,C05463t1,Transport of Taurodeoxycholate,h2o_c + atp_c + tdechola_c <==> h_c + adp_c + pi_c + tdechola_e
10011,C05463t2,"Transport of Taurodeoxycholate, Antiport with Bicarbonate",hco3_e + tdechola_c <==> hco3_c + tdechola_e
10012,C05953tm,"Transport of Prostaglandin A2, Intracellular",HC02203_m <==> HC02203_c
10013,C05957td,"Transport of Prostaglandin J2, Diffusion",C05957_c <==> C05957_e
10014,C06439t,"Transport of Prostaglandin E3, Lactate Antiport",lac__L_e + HC02213_c <==> lac__L_c + HC02213_e
10015,C14768ATP,"Transport of 5, 6-EET, Active Transport",h2o_c + atp_c + C14768_c <==> h_c + adp_c + pi_c + C14768_e
10016,C14768td,"Transport of 5, 6-EET, Diffusion",C14768_c <==> C14768_e
10017,C14769td2,"Transport of 8, 9-EET, Active Transport",h2o_c + atp_c + C14769_c <==> h_c + adp_c + pi_c + C14769_e
10018,C14771ATP,"Transport of 14, 15-EET, Active Transport",h2o_c + atp_c + C14771_c <==> h_c + adp_c + pi_c + C14771_e
10019,C14825ATP,"Transport of 9 (10)-Epome, Active Transport",h2o_c + atp_c + C14825_c <==> h_c + adp_c + pi_c + C14825_e
10020,C14826td,"Transport of 12 (13)-Epome, Diffusion",C14826_c <==> C14826_e
10021,CE0328t,Transport of Docosahexaenoate,h2o_c + atp_c + crvnc_c <==> h_c + adp_c + pi_c + crvnc_e
10022,CE1273t1,"Transport of 5Beta-Cholestane-3Alpha, 7Alpha, 12Alpha, 24S, 25-Pentol, Active Transport",h2o_c + atp_c + CE1273_c <==> h_c + adp_c + pi_c + CE1273_e
10023,CE1273t2,"Transport of 5Beta-Cholestane-3Alpha, 7Alpha, 12Alpha, 24S, 25-Pentol, Atiport with Bicarbonate",hco3_e + CE1273_c <==> hco3_c + CE1273_e
10024,CE1297t,Active Transport of 8-Dehydrocholesterol,h2o_c + atp_c + CE1297_c <==> h_c + adp_c + pi_c + CE1297_e
10025,CE2028t,Transport for Beta-Hydroxy-Beta-Methylbutyrate,CE2028_c <==> CE2028_e
10026,CE2176t,Transport of 3-O-Methyldopa,leu__L_c + CE2176_e <==> leu__L_e + CE2176_c
10027,CE2445t,"Transport of 6-Trans-Leukotriene B4, Active Transport",h2o_c + atp_c + CE2445_c <==> h_c + adp_c + pi_c + CE2445_e
10028,CE2513ATP,"Transport of 15-Tetracosenoate, Active Transport",h2o_c + atp_c + nrvnc_c <==> h_c + adp_c + pi_c + nrvnc_e
10029,CE4843t,"Transport of Cis, Cis-11, 14-Eicosadienoyl Coenzyme A, Active Transport",h2o_c + atp_c + eidi1114ac_c <==> h_c + adp_c + pi_c + eidi1114ac_e
10030,CE4843td,"Transport of Cis, Cis-11, 14-Eicosadienoyl Coenzyme A, Diffusion",eidi1114ac_c <==> eidi1114ac_e
10031,CE6031t,Transport of Androsterone Sulfate,CE6031_c <==> CE6031_e
10032,CE6247t,"Transport of 5, 12, 20-Trihete, Active Transport",h2o_c + atp_c + CE6247_c <==> h_c + adp_c + pi_c + CE6247_e
10033,CE7082ATP,"Transport of 15(S)-HEPE, Active Transport",h2o_c + atp_c + CE7082_c <==> h_c + adp_c + pi_c + CE7082_e
10034,CE7172ATP,"Transport of 14, 15-DIHETE, Active Transport",h2o_c + atp_c + CE7172_c <==> h_c + adp_c + pi_c + CE7172_e
10035,CORTSNt,Extracellular Transport of Cortisone,cortsn_c <==> cortsn_e
10036,CORTSNti,Intracellular Transport of Cortisone,cortsn_r <==> cortsn_c
10037,DIHOLINETH,Formation of Dihomo-Gamma-Linolenoyl Ethanolamide,h2o_e + pedh203_hs_e <==> pa_hs_e + diholineth_e
10038,DOCTETETH,"Formation of Docosatetraenoyl Ethanolamide (22:4, Delta 7, 10, 13, 16)",h2o_e + pe224_hs_e <==> pa_hs_e + docteteth_e
10039,DODECANACtd,Transport of Dodecanedioic Acid by Diffusion,dodecanac_c <==> dodecanac_e
10040,EX_15HPET_e,Exchange of 15(S)-HPETE,15HPET_e <==> 
10041,EX_21hprgnlone_e,Exchange of 21-Hydroxypregnenolone,21hprgnlone_e <==> 
